"Attribute";"Weight"
"AAindex_WILM950104_min5";0.0
"AAindex_WILM950104_min10";0.0
"AAindex_WILM950104_min15";1.0
"AAindex_WILM950104_max5";0.0
"AAindex_WILM950104_max10";1.0
"AAindex_WILM950104_max15";0.0
"AAindex_KUHL950101_avg";1.0
"AAindex_KUHL950101_min5";0.0
"AAindex_KUHL950101_min10";0.0
"AAindex_KUHL950101_min15";1.0
"AAindex_KUHL950101_max5";1.0
"AAindex_KUHL950101_max10";0.0
"AAindex_KUHL950101_max15";0.0
"AAindex_JURD980101_avg";1.0
"AAindex_JURD980101_min5";1.0
"AAindex_JURD980101_min10";1.0
"AAindex_JURD980101_min15";0.0
"AAindex_JURD980101_max5";0.0
"AAindex_JURD980101_max10";0.0
"AAindex_JURD980101_max15";1.0
"AAindex_WOLR790101_avg";0.0
"AAindex_WOLR790101_min5";0.0
"AAindex_WOLR790101_min10";0.0
"AAindex_WOLR790101_min15";1.0
"AAindex_WOLR790101_max5";0.0
"AAindex_WOLR790101_max10";1.0
"AAindex_WOLR790101_max15";1.0
"AAindex_KIDA850101_avg";1.0
"AAindex_KIDA850101_min5";1.0
"AAindex_KIDA850101_min10";1.0
"AAindex_KIDA850101_min15";0.0
"AAindex_KIDA850101_max5";1.0
"AAindex_KIDA850101_max10";0.0
"AAindex_KIDA850101_max15";1.0
"AAindex_COWR900101_avg";0.0
"AAindex_COWR900101_min5";0.0
"AAindex_COWR900101_min10";1.0
"AAindex_COWR900101_min15";1.0
"AAindex_COWR900101_max5";1.0
"AAindex_COWR900101_max10";1.0
"AAindex_COWR900101_max15";1.0
"AAindex_BLAS910101_avg";1.0
"AAindex_BLAS910101_min5";0.0
"AAindex_BLAS910101_min10";1.0
"AAindex_BLAS910101_min15";1.0
"AAindex_BLAS910101_max5";1.0
"AAindex_BLAS910101_max10";1.0
"AAindex_BLAS910101_max15";0.0
"AAindex_CASG920101_avg";0.0
"AAindex_CASG920101_min5";1.0
"AAindex_CASG920101_min10";0.0
"AAindex_CASG920101_min15";1.0
"AAindex_CASG920101_max5";0.0
"AAindex_CASG920101_max10";0.0
"AAindex_CASG920101_max15";0.0
"AAindex_ENGD860101_avg";1.0
"AAindex_ENGD860101_min5";0.0
"AAindex_ENGD860101_min10";0.0
"AAindex_ENGD860101_min15";0.0
"AAindex_ENGD860101_max5";1.0
"AAindex_ENGD860101_max10";1.0
"AAindex_ENGD860101_max15";1.0
"AAindex_FASG890101_avg";1.0
"AAindex_FASG890101_min5";1.0
"AAindex_FASG890101_min10";1.0
"AAindex_FASG890101_min15";0.0
"AAindex_FASG890101_max5";1.0
"AAindex_FASG890101_max10";0.0
"AAindex_FASG890101_max15";1.0
"pI";1.0
"AphilaticIndex";1.0
"InstabilityIndex";1.0
"NetCharge";0.0
"PRprobability_IUpredL_max_5";1.0
"PRprobability_IUpredL_max_10";0.0
"PRprobability_IUpredL_max_15";1.0
"PRprobability_IUpredL_min_5";0.0
"PRprobability_IUpredL_min_10";0.0
"PRprobability_IUpredL_min_15";1.0
"PRprobability_IUpredL_avg";1.0
"PRprobability_IUpredS_max_5";1.0
"PRprobability_IUpredS_max_10";0.0
"PRprobability_IUpredS_max_15";1.0
"PRprobability_IUpredS_min_5";1.0
"PRprobability_IUpredS_min_10";1.0
"PRprobability_IUpredS_min_15";0.0
"PRprobability_IUpredS_avg";0.0
"PRSegmentComposition_IUPredL_0_1-5";1.0
"PRSegmentComposition_IUPredL_0_6-10";1.0
"PRSegmentComposition_IUPredL_0_11-15";1.0
"PRSegmentComposition_IUPredL_0_>15";0.0
"PRSegmentComposition_IUPredL_1_1-5";1.0
"PRSegmentComposition_IUPredL_1_6-10";0.0
"PRSegmentComposition_IUPredL_1_11-15";1.0
"PRSegmentComposition_IUPredL_1_>15";0.0
"PRSegmentComposition_IUPredS_0_1-5";1.0
"PRSegmentComposition_IUPredS_0_6-10";0.0
"PRSegmentComposition_IUPredS_0_11-15";1.0
"PRSegmentComposition_IUPredS_0_>15";0.0
"PRSegmentComposition_IUPredS_1_1-5";1.0
"PRSegmentComposition_IUPredS_1_6-10";0.0
